engineer,date,size,helper_id,helper,species,order,con,inj,g0,g0t,X,Xt,Xnt,surv,inj.lambda,g0.lambda
PG,NA,11609,3081,mRNA,ae,diptera,4699,1059,3,NA,2,NA,NA,0.002832861,0.001888574,0.666666667
PG,NA,10034,3081,mRNA,ae,diptera,4706,1000,15,NA,3,NA,NA,0.015,0.003,0.2
PG,NA,11649,3081,mRNA,ae,diptera,4736,2052,47,NA,8,NA,NA,0.022904483,0.003898635,0.170212766
PG,NA,15124,3081,mRNA,ae,diptera,4758,1435,28,NA,4,NA,NA,0.019512195,0.002787456,0.142857143
PG,NA,12610,3082,mRNA,ae,diptera,4778,1473,NA,NA,6,NA,NA,NA,0.00407332,NA
MG,2,11366,265,DNA,dbm,lepidoptera,4703,779,206,NA,4,NA,NA,0.264441592,0.005134788,0.019417476
AW,54,9918,3081,mRNA,dbm,lepidoptera,4804,1212,388,NA,4,NA,NA,0.320132013,0.00330033,0.010309278
MG,4,6245,3081,mRNA,tc,coleoptera,4700,3766,382,NA,7,NA,NA,0.101433882,0.001858736,0.018324607
MG,5,8939,3081,mRNA,tc,coleoptera,4799,1461,190,NA,1,NA,NA,0.130047912,0.000684463,0.005263158
MG,6,13531,3081,mRNA,dbm,lepidoptera,5067,1781,546,NA,7,NA,NA,0.306569343,0.003930376,0.012820513
PE,1,9038,3022,mRNA,mf,diptera,4711,1322,687,NA,25,248,439,0.519667171,0.018910741,0.036390102
MG,3,13241,265,DNA,dbm,lepidoptera,4710,804,105,NA,0,NA,NA,0.130597015,0,0
THS,2,15981,265,DNA,dbm,lepidoptera,4651,5596,1433,45,0,NA,NA,0.256075768,0,0
THS,3,14901,NA,DNA,dbm,lepidoptera,4673,1403,466,26,1,NA,NA,0.332145403,0.000712758,0.002145923
THS,4,15573,NA,DNA,dbm,lepidoptera,4765,5589,1958,NA,0,NA,NA,0.350331007,0,0
THS,5,15273,3081,mRNA,dbm,lepidoptera,5042,3000,1500,NA,0,NA,NA,0.5,0,0
AW,NA,14013,3081,mRNA,tlm,lepidoptera,4319,2903,292,NA,0,NA,NA,0.100585601,0,0
AW,NA,7729,3081,mRNA,tlm,lepidoptera,1138,4341,309,NA,3,NA,NA,0.071181755,0.000691085,0.009708738
THS,1,14013,265,DNA,dbm,lepidoptera,4319,966,326,23,1,0,1,0.33747412,0.001035197,0.003067485
TM,1,14013,265,DNA,dbm,lepidoptera,4319,2799,503,NA,9,NA,NA,0.179707038,0.003215434,0.017892644
TM,2,14037,265,DNA,dbm,lepidoptera,4609,3843,466,NA,0,NA,NA,0.121259433,0,0
TM,3,9319,265,DNA,dbm,lepidoptera,4686,2846,794,NA,1,NA,NA,0.278988053,0.00035137,0.001259446
TM,4,9985,265,DNA,dbm,lepidoptera,4688,1148,308,NA,0,NA,NA,0.268292683,0,0
JM,1,15346,NA,mRNA,aa,diptera,5010,1841,31,26,8,NA,NA,0.016838675,0.004345464,0.258064516
TA,NA,17552,NA,mRNA,of,diptera,3713,5000,96,NA,1,NA,NA,0.0192,0.0002,0.010416667
NM,NA,14035,NA,DNA,pbw,lepidoptera,3347,100,17,NA,1,NA,NA,0.17,0.01,0.058823529
NM,NA,16287,NA,DNA,pbw,lepidoptera,3771,1535,114,NA,2,NA,NA,0.074267101,0.001302932,0.01754386
GL,NA,7507,NA,DNA,ae,diptera,3860,1500,550,NA,5,NA,NA,0.366666667,0.003333333,0.009090909
CB,1,11788,265,DNA,ds,diptera,3097,1037,52,NA,3,NA,NA,0.050144648,0.00289296,0.057692308
CB,2,11788,3081,mRNA,ds,diptera,3097,632,36,NA,0,NA,NA,0.056962025,0,0
CB,3,11788,265,DNA,ds,diptera,3097,1157,35,NA,1,NA,NA,0.030250648,0.000864304,0.028571429
CB,4,20203,265,DNA,ds,diptera,3864,461,15,NA,0,NA,NA,0.032537961,0,0
FH,NA,12375,3081,mRNA,ae,diptera,4776,1165,8,NA,2,NA,NA,0.006866953,0.001716738,0.25
